t1,t2,cost,n_auto,n_manual,n_reject,appr_rate,manual_rate,reject_rate
0.05,0.2,325448.0,110256,115429,20323,0.44818054697408216,0.469208318428669,0.08261113459724886
0.05,0.21000000000000002,325448.0,110256,117905,17847,0.44818054697408216,0.4792730317713245,0.07254642125459335
0.05,0.22,325448.0,110256,121614,14138,0.44818054697408216,0.4943497772430165,0.05746967578290137
0.05,0.23,325448.0,110256,121614,14138,0.44818054697408216,0.4943497772430165,0.05746967578290137
0.05,0.24,325448.0,110256,121614,14138,0.44818054697408216,0.4943497772430165,0.05746967578290137
0.05,0.25,325448.0,110256,124424,11328,0.44818054697408216,0.5057721700107314,0.0460472830151865
0.05,0.26,325448.0,110256,125463,10289,0.44818054697408216,0.509995609898865,0.04182384312705278
0.05,0.27,325448.0,110256,125463,10289,0.44818054697408216,0.509995609898865,0.04182384312705278
0.05,0.28,325448.0,110256,125864,9888,0.44818054697408216,0.5116256381906279,0.04019381483528991
0.05,0.29,325448.0,110256,128915,6837,0.44818054697408216,0.5240276738967838,0.02779177912913401
0.05,0.3,325448.0,110256,130323,5429,0.44818054697408216,0.5297510650060161,0.022068388019901793
0.05,0.31,325448.0,110256,131220,4532,0.44818054697408216,0.5333972878930766,0.018422165132841208
0.05,0.32,325448.0,110256,132367,3385,0.44818054697408216,0.5380597378947026,0.013759715131215246
0.05,0.32999999999999996,325448.0,110256,132367,3385,0.44818054697408216,0.5380597378947026,0.013759715131215246
0.05,0.33999999999999997,325448.0,110256,132385,3367,0.44818054697408216,0.5381329062469513,0.013686546778966538
0.05,0.35,325448.0,110256,132385,3367,0.44818054697408216,0.5381329062469513,0.013686546778966538
0.05,0.36,325448.0,110256,132385,3367,0.44818054697408216,0.5381329062469513,0.013686546778966538
0.05,0.37,325448.0,110256,133195,2557,0.44818054697408216,0.5414254820981431,0.010393970927774707
0.05,0.38,325448.0,110256,133195,2557,0.44818054697408216,0.5414254820981431,0.010393970927774707
0.05,0.39,325448.0,110256,133853,1899,0.44818054697408216,0.5441001918636792,0.007719261162238626
0.05,0.39999999999999997,325448.0,110256,133896,1856,0.44818054697408216,0.5442749829273845,0.007544470098533381
0.05,0.41,325448.0,110256,134145,1607,0.44818054697408216,0.5452871451334916,0.0065323078924262624
0.05,0.42,325448.0,110256,134145,1607,0.44818054697408216,0.5452871451334916,0.0065323078924262624
0.05,0.42999999999999994,325448.0,110256,134887,865,0.44818054697408216,0.5483033072095217,0.0035161458163962146
0.05,0.43999999999999995,325448.0,110256,135243,509,0.44818054697408216,0.5497504146206628,0.002069038405255114
0.05,0.44999999999999996,325448.0,110256,135243,509,0.44818054697408216,0.5497504146206628,0.002069038405255114
0.05,0.45999999999999996,325448.0,110256,135243,509,0.44818054697408216,0.5497504146206628,0.002069038405255114
0.05,0.47,325448.0,110256,135243,509,0.44818054697408216,0.5497504146206628,0.002069038405255114
0.05,0.48,325448.0,110256,135341,411,0.44818054697408216,0.5501487756495723,0.0016706773763454847
0.05,0.49,325448.0,110256,135341,411,0.44818054697408216,0.5501487756495723,0.0016706773763454847
0.05,0.49999999999999994,325448.0,110256,135341,411,0.44818054697408216,0.5501487756495723,0.0016706773763454847
0.05,0.51,325448.0,110256,135343,409,0.44818054697408216,0.5501569054664889,0.0016625475594289616
0.05,0.52,325448.0,110256,135343,409,0.44818054697408216,0.5501569054664889,0.0016625475594289616
0.05,0.53,325448.0,110256,135343,409,0.44818054697408216,0.5501569054664889,0.0016625475594289616
0.05,0.54,325448.0,110256,135343,409,0.44818054697408216,0.5501569054664889,0.0016625475594289616
0.05,0.5499999999999999,325448.0,110256,135712,40,0.44818054697408216,0.5516568566875873,0.0001625963383304608
0.05,0.5599999999999999,325448.0,110256,135712,40,0.44818054697408216,0.5516568566875873,0.0001625963383304608
0.05,0.57,325448.0,110256,135712,40,0.44818054697408216,0.5516568566875873,0.0001625963383304608
0.05,0.58,325448.0,110256,135712,40,0.44818054697408216,0.5516568566875873,0.0001625963383304608
0.05,0.59,325448.0,110256,135712,40,0.44818054697408216,0.5516568566875873,0.0001625963383304608
0.05,0.5999999999999999,325448.0,110256,135712,40,0.44818054697408216,0.5516568566875873,0.0001625963383304608
0.05,0.6099999999999999,325448.0,110256,135712,40,0.44818054697408216,0.5516568566875873,0.0001625963383304608
0.05,0.6199999999999999,325448.0,110256,135712,40,0.44818054697408216,0.5516568566875873,0.0001625963383304608
0.05,0.6299999999999999,325448.0,110256,135712,40,0.44818054697408216,0.5516568566875873,0.0001625963383304608
